Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.45544908827094E-06,-3.34039686800125E-07,0.00634866081887352,0,0,0,0.351340644804073,0.000561591625758623,-5.75402077890482E-09,2.68645972061726E-08,0.000295456544588391,-1.55795703827683E-10,0.000831586652545755,0,0,0,0,0,0,package://wrobot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wrobot/meshes/base_link.STL,,双腿连接件-1;4Nm电机-2;4Nm电机-5,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_yaw_link,-0.0443093289611931,0.0202624834463113,-0.0546231265404663,0,0,0,0.439448304738404,0.000690638606518972,3.18135838720333E-05,-7.87276413611585E-05,0.000488653738919311,8.49624607488032E-05,0.000365080346068604,0,0,0,0,0,0,package://wrobot/meshes/left_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://wrobot/meshes/left_leg_yaw_link.STL,,8Nm电机-8;右脚胯部连接件-2,left_leg_yaw_link,left_leg_yaw_joint,left_leg_yaw_joint,revolute,0,0.037,-0.0049,0,0,0,base_link,0,0,1,100,100,-0.3,0.16,,,,,,,,
left_leg_roll_link,0.0645180494042625,-0.00966371069673642,-6.81067126331427E-05,0,0,0,0.367255287373288,0.000207254660060862,4.1385880912359E-07,-2.43167358967536E-07,0.000508100746923177,5.49267386153129E-08,0.000336596393532028,0,0,0,0,0,0,package://wrobot/meshes/left_leg_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/left_leg_roll_link.STL,,大腿关节连接件-4;8Nm电机-7;大腿关节垫厚-5,left_leg_roll_link,left_leg_roll_joint,left_leg_roll_joint,revolute,-0.0425,0.027,-0.068,0,0,0,left_leg_yaw_link,1,0,0,100,100,-0.14,0.2,,,,,,,,
left_leg_pitch_link,0.00148319589119643,0.0326062903165774,-0.0625655937723331,0,0,0,1.18527061189866,0.00379050222855489,-1.78447090718458E-06,1.06912363022047E-05,0.00431030632492315,-2.67582249965789E-06,0.000587231100121115,0,0,0,0,0,0,package://wrobot/meshes/left_leg_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/left_leg_pitch_link.STL,,右大腿内侧-2;M5x40铜柱-20;M5x40铜柱-21;M5x40铜柱-18;12Nm电机-5;大腿外侧-3;4Nm电机-7;脚踝关节电机摇臂-3;脚踝电机连杆-4;踝关节连杆连接件-8;踝关节连杆连接件-7;膝关节支撑柱-3,left_leg_pitch_link,left_leg_pitch_joint,left_leg_pitch_joint,revolute,0.07722,0.006337,0,0,0,0,left_leg_roll_link,0,1,0,100,100,-1.75,0.17,,,,,,,,
left_knee_link,-2.4980018054066E-16,8.32667268468867E-17,-0.0902889224751217,0,0,0,0.263525823297357,0.000883600712617746,-6.44159460846236E-20,-2.4292901048915E-07,0.000901955379714786,6.4895534968564E-20,2.12297881802134E-05,0,0,0,0,0,0,package://wrobot/meshes/left_knee_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/left_knee_link.STL,,小腿-5;小腿-6;踝关节支撑柱-3,left_knee_link,left_knee_joint,left_knee_joint,revolute,0,0.026996,-0.218,0,0,0,left_leg_pitch_link,0,1,0,100,100,0,2.2,,,,,,,,
left_ankle_link,-9.93400948792744E-06,-6.10622663543836E-16,-0.0315560463165203,0,0,0,0.16003700150276,3.49641196316985E-05,-5.73767175209916E-19,4.59230004261636E-19,0.000199264746113105,3.01054968879692E-22,0.000171429278952949,0,0,0,0,0,0,package://wrobot/meshes/left_ankle_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/left_ankle_link.STL,,脚底-8;脚底-9;柔性材料-6;柔性材料-7,left_ankle_link,left_ankle_joint,left_ankle_joint,revolute,0,0,-0.18,0,0,0,left_knee_link,0,1,0,100,100,-0.7,0.7,,,,,,,,
right_leg_yaw_link,-0.0440136868721984,-0.0201218361026562,-0.0543663000835155,0,0,0,0.448477897266568,0.000708585911673441,-3.30344307871471E-05,-8.19768113937345E-05,0.000502982075407817,-8.84046340060794E-05,0.00037426806449413,0,0,0,0,0,0,package://wrobot/meshes/right_leg_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://wrobot/meshes/right_leg_yaw_link.STL,,8Nm电机-3;左脚胯部连接件-1,right_leg_yaw_link,right_leg_yaw_joint,right_leg_yaw_joint,revolute,0,-0.037,-0.0049,0,0,0,base_link,0,0,1,100,100,-0.16,0.3,,,,,,,,
right_leg_roll_link,0.064509,0.0096637,-7.6043E-05,0,0,0,0.36726,0.0002072,-3.4949E-07,-2.3444E-07,0.0005081,-2.4579E-10,0.00033665,0,0,0,0,0,0,package://wrobot/meshes/right_leg_roll_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://wrobot/meshes/right_leg_roll_link.STL,,大腿关节连接件-1;大腿关节垫厚-3;8Nm电机-4,right_leg_roll_link,right_leg_roll_joint,right_leg_roll_joint,revolute,-0.0425,-0.027,-0.068,0,0,0,right_leg_yaw_link,1,0,0,100,100,-0.2,0.14,,,,,,,,
right_leg_pitch_link,0.0014174918921247,-0.0326081025369668,-0.0625698560144227,0,0,0,1.18527061253506,0.00379062040507287,2.1392654588253E-06,9.72198620632173E-06,0.00431030632498392,2.56195456332065E-06,0.000587112923702567,0,0,0,0,0,0,package://wrobot/meshes/right_leg_pitch_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/right_leg_pitch_link.STL,,左大腿内侧-1;M5x40铜柱-3;M5x40铜柱-1;M5x40铜柱-2;12Nm电机-3;大腿外侧-1;脚踝关节电机摇臂-1;脚踝电机连杆-1;4Nm电机-1;踝关节连杆连接件-4;踝关节连杆连接件-1;膝关节支撑柱-1,right_leg_pitch_link,right_leg_pitch_joint,right_leg_pitch_joint,revolute,0.07722,-0.006333,0,0,0,0,right_leg_roll_link,0,1,0,100,100,-1.75,0.17,,,,,,,,
right_knee_link,-2.22044604925031E-16,-1.17961196366423E-16,-0.0902889224751217,0,0,0,0.263525823297357,0.000883600712617745,-6.48074652290744E-20,2.4292901048339E-07,0.000901955379714785,-5.1416250414399E-20,2.12297881802134E-05,0,0,0,0,0,0,package://wrobot/meshes/right_knee_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://wrobot/meshes/right_knee_link.STL,,小腿-1;小腿-2;踝关节支撑柱-1,right_knee_link,right_knee_joint,right_knee_joint,revolute,0,-0.027,-0.218,0,0,0,right_leg_pitch_link,0,1,0,100,100,0,2.2,,,,,,,,
